Date,Close
2015-01-01,8282.70
2015-01-02,8360.55
2015-01-05,8323.00
2015-01-06,8149.55
2015-01-07,8220.90
2015-01-08,8284.00
2015-01-09,8299.40
2015-01-12,8269.15
2015-01-13,8284.50
2015-01-14,8284.20
2015-01-15,8513.80
2015-01-16,8513.80
2015-01-19,8550.70
2015-01-20,8761.40
2015-01-21,8774.65
2015-01-22,8841.55
2015-01-23,8835.60
2015-01-27,8952.35
2015-01-28,8910.45
2015-01-29,8991.45
2015-01-30,8808.90
2015-02-02,8827.00
2015-02-03,8756.55
2015-02-04,8750.20
2015-02-05,8661.05
2015-02-06,8664.30
2015-02-09,8542.95
2015-02-10,8665.40
2015-02-11,8727.60
2015-02-12,8726.70
2015-02-13,8844.60
2015-02-16,8842.15
2015-02-18,8884.10
2015-02-19,8882.40
2015-02-20,8901.85
2015-02-23,8755.20
2015-02-24,8753.80
2015-02-25,8726.70
2015-02-26,8723.30
2015-02-27,8901.85
2015-03-02,8991.45
2015-03-03,8996.25
2015-03-04,8937.75
2015-03-05,8927.00
2015-03-06,8923.00
2015-03-09,8922.65
2015-03-10,8770.90
2015-03-11,8649.25
2015-03-12,8750.20
2015-03-13,8647.75
2015-03-16,8633.15
2015-03-17,8676.00
2015-03-18,8675.55
2015-03-19,8643.00
2015-03-20,8617.00
2015-03-23,8592.00
2015-03-24,8585.00
2015-03-25,8423.25
2015-03-26,8342.15
2015-03-27,8341.40
2015-03-30,8492.30
2015-03-31,8491.00
2015-04-01,8560.00
2015-04-06,8658.10
2015-04-07,8684.30
2015-04-08,8660.25
2015-04-09,8806.10
2015-04-10,8848.10
2015-04-13,8831.60
2015-04-15,8785.90
2015-04-16,8723.30
2015-04-17,8606.00
2015-04-20,8655.00
2015-04-21,8623.05
2015-04-22,8423.25
2015-04-23,8474.20
2015-04-24,8398.30
2015-04-27,8305.25
2015-04-28,8314.45
2015-04-29,8295.55
2015-04-30,8181.50
2015-05-04,8165.85
2015-05-05,8146.30
2015-05-06,8127.90
2015-05-07,8124.45
2015-05-08,8273.80
2015-05-11,8291.55
2015-05-12,8277.55
2015-05-13,8235.45
2015-05-14,8295.55
2015-05-15,8272.85
2015-05-18,8373.65
2015-05-19,8421.00
2015-05-20,8395.35
2015-05-21,8413.15
2015-05-22,8460.75
2015-05-25,8474.20
2015-05-26,8431.00
2015-05-27,8433.65
2015-05-28,8370.25
2015-05-29,8433.65
2015-06-01,8432.00
2015-06-02,8376.00
2015-06-03,8335.95
2015-06-04,8236.45
2015-06-05,8233.95
2015-06-08,8145.75
2015-06-09,8153.00
2015-06-10,8130.65
2015-06-11,8140.75
2015-06-12,7981.90
2015-06-15,7943.75
2015-06-16,8014.55
2015-06-17,7945.85
2015-06-18,8124.45
2015-06-19,8200.70
2015-06-22,8238.50
2015-06-23,8318.40
2015-06-24,8344.25
2015-06-25,8424.10
2015-06-26,8391.55
2015-06-29,8368.50
2015-06-30,8368.50
2015-07-01,8434.65
2015-07-02,8398.90
2015-07-03,8459.65
2015-07-06,8514.00
2015-07-07,8523.00
2015-07-08,8459.65
2015-07-09,8434.65
2015-07-10,8521.55
2015-07-13,8579.00
2015-07-14,8544.30
2015-07-15,8608.00
2015-07-16,8608.00
2015-07-17,8608.00
2015-07-20,8641.00
2015-07-21,8653.00
2015-07-22,8510.45
2015-07-23,8531.80
2015-07-24,8474.10
2015-07-27,8341.00
2015-07-28,8377.40
2015-07-29,8437.25
2015-07-30,8421.00
2015-07-31,8532.85
2015-08-03,8543.05
2015-08-04,8505.35
2015-08-05,8532.85
2015-08-06,8501.85
2015-08-07,8548.05
2015-08-10,8553.95
2015-08-11,8462.35
2015-08-12,8449.25
2015-08-13,8423.25
2015-08-14,8384.30
2015-08-17,8348.25
2015-08-18,8377.40
2015-08-19,8383.30
2015-08-20,8277.55
2015-08-21,8299.45
2015-08-24,7809.00
2015-08-25,7881.15
2015-08-26,7948.90
2015-08-27,8031.35
2015-08-28,8095.15
2015-08-31,7971.30
